"Chae"	"Fish"	497.8125000000000000	643
"Emily"	"Ham"	440.5483870967741935	627
"Mia"	"Ice"	631.1500000000000000	692
"Sam"	"Jelly"	566.2258064516129032	630
"Chae"	"Dates"	566.9000000000000000	583
"Claire"	"Jelly"	506.5161290322580645	512
"Emily"	"Grapes"	564.2500000000000000	579
"Boo"	"Grapes"	444.3214285714285714	550
"Dan"	"Eggs"	518.0000000000000000	540
"Wally"	"Grapes"	516.6400000000000000	518
"Mia"	"Jelly"	584.8709677419354839	604
"Emily"	"Apple"	492.7567567567567568	580
"Sam"	"Dates"	485.9687500000000000	501
"Boo"	"Dates"	370.3076923076923077	383
"Wally"	"Butter"	417.5333333333333333	454
"Helen"	"Dates"	469.6153846153846154	500
"Boo"	"Cherry"	453.2187500000000000	463
"Wally"	"Dates"	417.0416666666666667	480
"Dan"	"Ham"	501.3157894736842105	567
"Wally"	"Eggs"	474.4545454545454545	476
"Sam"	"Ice"	545.4074074074074074	567
"Emily"	"Jelly"	424.2000000000000000	564
"Dan"	"Fish"	532.8095238095238095	590
"Boo"	"Eggs"	447.3870967741935484	525
"Boo"	"Jelly"	479.5161290322580645	498
"Helen"	"Butter"	512.8400000000000000	542
"Claire"	"Fish"	512.6071428571428571	544
"Sam"	"Grapes"	429.4444444444444444	512
"Dan"	"Butter"	547.8064516129032258	561
"Mia"	"Dates"	417.2500000000000000	442
"Claire"	"Butter"	554.6315789473684211	558
"Wally"	"Apple"	517.2142857142857143	525
"Chae"	"Ice"	536.6086956521739130	541
"Dan"	"Ice"	531.6774193548387097	533
"Helen"	"Eggs"	505.9032258064516129	616
"Dan"	"Cherry"	465.2800000000000000	507
"Chae"	"Cherry"	496.4285714285714286	498
"Dan"	"Jelly"	557.3928571428571429	561
"Claire"	"Dates"	452.9354838709677419	459
"Chae"	"Ham"	507.1600000000000000	521
"Emily"	"Dates"	491.6250000000000000	550
"Mia"	"Butter"	533.6176470588235294	572
"Wally"	"Fish"	451.1481481481481481	528
"Sam"	"Butter"	622.5600000000000000	715
"Emily"	"Butter"	587.6129032258064516	624
"Claire"	"Ham"	418.4062500000000000	456
"Dan"	"Apple"	496.3666666666666667	502
"Chae"	"Eggs"	547.9310344827586207	569
"Boo"	"Ice"	430.0000000000000000	438
"Mia"	"Eggs"	555.7096774193548387	560
"Dan"	"Dates"	472.7812500000000000	540
"Mia"	"Cherry"	484.6296296296296296	537
"Helen"	"Ice"	613.3333333333333333	640
"Wally"	"Ham"	567.0270270270270270	615
"Mia"	"Fish"	435.8666666666666667	445
"Chae"	"Jelly"	420.0740740740740741	440
"Sam"	"Cherry"	552.3076923076923077	710
"Emily"	"Ice"	439.5000000000000000	458
"Sam"	"Ham"	580.0454545454545455	590
"Claire"	"Eggs"	416.6923076923076923	432
"Chae"	"Grapes"	479.2000000000000000	504
"Dan"	"Grapes"	586.4800000000000000	621
"Helen"	"Cherry"	522.3076923076923077	546
"Wally"	"Cherry"	544.1851851851851852	545
"Mia"	"Grapes"	405.6764705882352941	417
"Boo"	"Ham"	470.3750000000000000	511
"Sam"	"Apple"	465.1666666666666667	498
"Helen"	"Ham"	377.6750000000000000	385
"Claire"	"Apple"	459.4705882352941176	469
"Emily"	"Eggs"	377.0000000000000000	378
"Emily"	"Fish"	488.8529411764705882	510
"Sam"	"Eggs"	595.7200000000000000	613
"Boo"	"Apple"	464.5172413793103448	532
"Chae"	"Butter"	483.3103448275862069	487
"Sam"	"Fish"	530.6896551724137931	544
"Claire"	"Ice"	479.8928571428571429	496
"Helen"	"Fish"	572.9166666666666667	590
"Chae"	"Apple"	522.6666666666666667	540
"Mia"	"Ham"	589.6250000000000000	623
"Claire"	"Grapes"	486.7307692307692308	487
"Wally"	"Jelly"	484.0000000000000000	491
"Wally"	"Ice"	459.3636363636363636	516
"Boo"	"Butter"	515.6410256410256410	543
"Boo"	"Fish"	475.2380952380952381	479
"Mia"	"Apple"	436.6562500000000000	440
"Helen"	"Grapes"	509.2083333333333333	541
"Emily"	"Cherry"	526.0000000000000000	550
"Helen"	"Apple"	557.9166666666666667	624
"Helen"	"Jelly"	478.4062500000000000	556
"Claire"	"Cherry"	599.0769230769230769	627
